Scanning azure-specs/specification...

Scan Complete. Processed 927 active spec files.

Provider             | APIs       | Attributes
---------------------------------------------
network              | 747        | 3075      
web                  | 692        | 3606      
awsconnector         | 671        | 2554      
sql                  | 538        | 3140      
apimanagement        | 530        | 3525      
migrate              | 350        | 1871      
resources            | 280        | 1045      
compute              | 223        | 1071      
machinelearningservices | 216        | 1296      
cosmos-db            | 204        | 1092      
billing              | 188        | 911       
synapse              | 176        | 924       
automation           | 172        | 930       
edge                 | 170        | 800       
eventgrid            | 170        | 848       
managednetworkfabric | 165        | 687       
appplatform          | 164        | 879       
app                  | 162        | 735       
recoveryservicessiterecovery | 154        | 972       
cognitiveservices    | 144        | 724       
devtestlabs          | 132        | 822       
networkcloud         | 129        | 718       
vmware               | 124        | 617       
devcenter            | 117        | 395       
azurestackhci        | 117        | 491       
storage              | 116        | 592       
cdn                  | 115        | 602       
oracle               | 110        | 447       
netapp               | 108        | 611       
logic                | 106        | 552       
datafactory          | 104        | 553       
containerservice     | 99         | 478       
paloaltonetworks     | 96         | 378       
securityinsights     | 95         | 542       
workloads            | 84         | 390       
operationalinsights  | 84         | 391       
hybridnetwork        | 83         | 413       
azure-kusto          | 82         | 415       
datamigration        | 81         | 309       
recoveryservicesbackup | 80         | 470       
desktopvirtualization | 80         | 429       
databoxedge          | 77         | 370       
adhybridhealthservice | 77         | 279       
dataprotection       | 75         | 364       
azurearcdata         | 74         | 325       
policyinsights       | 74         | 499       
securityandcompliance | 74         | 317       
hybridcompute        | 73         | 329       
containerregistry    | 71         | 349       
mysql                | 71         | 324       
cost-management      | 71         | 235       
eventhub             | 67         | 326       
postgresql           | 66         | 303       
servicebus           | 66         | 352       
customer-insights    | 66         | 330       
storagecache         | 61         | 273       
connectedvmware      | 61         | 223       
providerhub          | 60         | 269       
deviceregistry       | 58         | 261       
dnsresolver          | 58         | 323       
servicefabricmanagedclusters | 57         | 289       
recoveryservicesdatareplication | 55         | 268       
iotoperations        | 55         | 288       
hdinsight            | 54         | 246       
datashare            | 53         | 306       
scvmm                | 52         | 184       
keyvault             | 48         | 213       
healthcareapis       | 46         | 214       
storagesync          | 45         | 237       
marketplace          | 45         | 142       
sphere               | 45         | 274       
peering              | 45         | 191       
webpubsub            | 44         | 206       
streamanalytics      | 44         | 233       
confluent            | 43         | 232       
elastic              | 43         | 192       
orbital              | 42         | 170       
batch                | 42         | 209       
relay                | 42         | 210       
labservices          | 41         | 13        
redis                | 41         | 188       
communication        | 41         | 200       
signalr              | 40         | 186       
azuredatatransfer    | 40         | 180       
support              | 39         | 124       
frontdoor            | 38         | 170       
purestorage          | 38         | 171       
iothub               | 38         | 177       
apicenter            | 38         | 229       
automanage           | 37         | 154       
storagemover         | 35         | 178       
postgresqlhsc        | 35         | 157       
notificationhubs     | 35         | 175       
containerinstance    | 35         | 139       
vmwarecloudsimple    | 34         | 162       
appcomplianceautomation | 34         | 119       
azsadmin             | 34         | 154       
hybridconnectivity   | 33         | 117       
quota                | 33         | 136       
dynatrace            | 32         | 135       
consumption          | 32         | 130       
dashboard            | 32         | 140       
kubernetesconfiguration | 32         | 222       
maintenance          | 32         | 171       
newrelic             | 32         | 144       
redisenterprise      | 31         | 152       
datalake-analytics   | 31         | 170       
datadog              | 31         | 129       
botservice           | 31         | 132       
servicefabric        | 30         | 146       
hybridaks            | 30         | 78        
appconfiguration     | 29         | 131       
elasticsan           | 29         | 147       
servicelinker        | 28         | 111       
search               | 28         | 142       
solutions            | 27         | 98        
guestconfiguration   | 27         | 130       
resourcehealth       | 26         | 84        
nginx                | 26         | 120       
purview              | 26         | 112       
datalake-store       | 26         | 128       
alertsmanagement     | 25         | 119       
deviceupdate         | 25         | 114       
hardwaresecuritymodules | 25         | 109       
chaos                | 25         | 134       
mongocluster         | 24         | 105       
deviceprovisioningservices | 24         | 135       
databricks           | 24         | 101       
databasewatcher      | 24         | 106       
authorization        | 24         | 94        
recoveryservices     | 24         | 104       
durabletask          | 23         | 101       
loadtestservice      | 23         | 83        
certificateregistration | 23         | 101       
fist                 | 23         | 105       
azurestack           | 23         | 96        
servicenetworking    | 22         | 102       
digitaltwins         | 22         | 98        
reservations         | 22         | 71        
sqlvirtualmachine    | 22         | 91        
timeseriesinsights   | 22         | 103       
edgeorder            | 21         | 100       
recommendationsservice | 20         | 86        
management           | 20         | 66        
domainregistration   | 20         | 76        
resourcemover        | 19         | 86        
dnc                  | 19         | 72        
standbypool          | 19         | 74        
storagepool          | 18         | 72        
advisor              | 18         | 57        
vi                   | 18         | 76        
kubernetesruntime    | 18         | 53        
powerbidedicated     | 18         | 65        
databox              | 18         | 79        
confidentialledger   | 17         | 63        
privatedns           | 17         | 103       
